Account ID,Account Name,Brand Name,# of Branches,Sector,Contact Person
221653,____ _____ ______ _______,,1,,
548510,____ _______ _______ ______ _______,,4,,
641146,____ ________ _______ ________,,3,,
305318,____ ____ _______ _______ _______,,1,,
414538,Franchising-(OSMANLIZADELER 1879),,1,,
288833,Taqdem Alwajbat,,1,,
564411,____ ______ _______ _ ______ _______ ______ _______,,1,,
495711,Top Juice Corner,,1,,
893067,____ _____ _______ ________ ____ ___ ____,,3,,
206830,_____ ___ _____ ______ _______,,1,,
492216,____ ____ ____ ______ _________,,2,,
531905,_____ ______ _______ ______ _______,,1,,
334776,_____ ___ _____ ______ _______,,8,,
282569,____ ______ ______ _________,,2,,
879254,Be Wings,,1,,
613332,Check Mart,,3,,
748565,_____ ____ ______ _______,,1,,
967536,_____ _______ _______ _______ _______,,1,,
491234,Food quality shop,,1,,
652198,____ _____ ___ ______ _______ ____ ___ ____,,1,,
779387,____ ____ _____ _______ _______,,1,,
189076,_____ ____ ____ ______ _________,,1,,
300228,____ _______ _______ ______ _______,,1,,
119003,____ ___ ______ _________,,2,,
627551,El Mahrousa,,1,,
288106,_____ ___ ______ ______ _________,,2,,
382260,_____ ______ ______ ______ _______,,1,,
213738,____ ______ _____ ______ _________,,1,,
436251,____ ___ _______ _________ ______,,1,,
420120,____ ___ _____ ______ _________,,1,,
546405,_____ ______ _______,,1,,
296728,____ ___ ______ _______,,1,,
617614,____ _____ ______ _________,,1,,
880907,____ ____ _____ _______ ______ _________,,1,,
242734,_____ _____ _______ ____ ______ ______ _________,,2,,
683917,_____ __ ___ ______ _________,,1,,
744415,____ ____ _ ____ _______ _______,,1,,
500140,____ _____ _______ _______,,1,,
526559,____ ______ ______ _______,,1,,
656882,_____ _____ ___ _______ _____ ______ _______,,3,,
130045,____ ________ _____,,1,,
921105,____ ____ ___ ______ ______ ______ _______,,1,,
340742,PHILIZZA,,1,,
295327,____ ____ ______ _________,,1,,
161034,_____ _____ ______ _________,,1,,
298107,_____ ____ _________ __ _______ _______ _______,,1,,
170075,____ ____ ______ _________ _______,,1,,
929054,____ ____ _____ ______ _______,,1,,
331484,____ _____ ____ ______ _________,,1,,
393708,____ ___ ______ ______ _______,,1,,
825682,____ ___ ________,,3,,
677515,___ ___ ___ ______ _________,,1,,
620057,_____ _______ _______ ________,,2,,
796594,_____ __ ____ ______ _______,,1,,
423566,____ ____ ____ _______ ______ _______,,1,,
743482,____ ______ _______ _______,,1,,
919856,____ _____ ______ ______ _______,,4,,
149449,____ _____ ______ _______,,1,,
617661,_____ _____ _______ ______ _______,,1,,
637441,____ ___ _____ ______ _________,,1,,
230437,_____ ____ _______ ______ _________,,1,,
590666,____ _____ _______ ______ _______,,1,,
890704,_____ ____ ____ ______ _______,,1,,
755051,Alsultan Restaurant,,1,,
575527,____ _____ ______ ______ _______,,1,,
616017,400 Restaurant,,1,,
365911,Authentic Cuisine,,1,,
713777,____ ____ ____ ____ ____ _____ _________ _______,,3,,
582088,_____ ____ ___ __ _____ ______ ______ _________,,3,,
413157,Shawrma keet,,1,,
910436,____ ____ ______ _______ (___ ____),,2,,
199249,____ ____ _______ _______ _________,,1,,
733398,_____ ____ ____ ____ ____ _______ _______,,2,,
818227,____ ____ _______ ____ _____ ______ _________,,1,,
121693,____ ___ _ ___ ______ _______,,1,,
969534,Zainah Alzahrani,,0,,
517907,____ ____ ______ _______,,2,,
773072,_____ _____ ______ ______ _______,,2,,
857977,____ ______ _______ ______ _______,,2,,
684796,____ __ __ __ ______ _________,,1,,
767703,_____ ____ _______,,1,,
120006,____ ____ _____ _______ _______,,1,,
403192,Pipa,,1,,
277120,_____ _____ __ ____ ____ ______ _______,,2,,
262284,____ ____ ______ _______,,1,,
751245,_____ ____ ______ _________,,1,,
824068,____ _____ ____ ________,,1,,
382004,_____ _____ ____ ______ _______,,1,,
550063,____ ___ ______ ______ _______,,1,,
468530,Absolute,,1,,
667928,Barok Leaf,,1,,
433347,Snack Pilsan,,1,,
104896,____ ____ _______ ________,,1,,
449832,Shabab Al-Reef,,1,,
180977,____ ____ ____ _______,,3,,
728012,____ _____ ______ ________,,2,,
829005,_____ _____ ______ _______,,2,,
255985,____ _____ ____ ______ _______,,1,,
644560,____ ______ _______ ______ _______,,1,,
265353,Zahrt Algahwah,,2,,
897567,____ _____ ______ ______ _______,,1,,
422197,____ _____ ______ ______ _______,,1,,
562027,_____ _____ ______ _______,,1,,
114698,____ __ ___ _______ ______ _________,,1,,
919124,____ ____ ______ ______ _______,,1,,
717337,____ ______ ______ _____,,2,,
233962,____ ___ ______ _________,,1,,
421948,____ ___ ______ _______,,1,,
774085,____ ____ ___,,3,,
751863,___ _____ _____ ______ _________,,1,,
802559,____ _____ _____ ______ _______ ____ ___ ____,,1,,
